#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
345;28.12.2021 01:09:52;-30,99977;Madox;Self play;Fail;82;100%
346;28.12.2021 01:09:52;-54,29916;Jack;Self play;Win;82;100%
347;28.12.2021 01:10:45;-82,7573;Madox;Self play;Draw;299;100%
348;28.12.2021 01:10:45;-93,75697;Jack;Self play;Draw;299;100%
349;28.12.2021 01:10:55;-29,56675;Madox;Self play;Win;55;100%
350;28.12.2021 01:10:55;-41,16644;Jack;Self play;Fail;55;100%
351;28.12.2021 01:11:07;-21,04726;Madox;Self play;Fail;39;93%
352;28.12.2021 01:11:07;-35,3472;Jack;Self play;Win;39;93%
353;28.12.2021 01:11:16;-28,46072;Madox;Self play;Fail;50;98%
354;28.12.2021 01:11:16;-23,96071;Jack;Self play;Win;50;98%
355;28.12.2021 01:12:10;-66,25773;Madox;Self play;Draw;299;100%
356;28.12.2021 01:12:10;-144,7573;Jack;Self play;Draw;299;100%
357;28.12.2021 01:13:03;-73,35751;Madox;Self play;Draw;300;98%
358;28.12.2021 01:13:03;-127,7561;Jack;Self play;Draw;300;98%
359;28.12.2021 01:13:56;-93,9568;Madox;Self play;Draw;300;100%
360;28.12.2021 01:13:56;-100,8565;Jack;Self play;Draw;300;100%
361;28.12.2021 01:14:50;-24,96025;Madox;Self play;Draw;300;0%
362;28.12.2021 01:14:50;-28,76042;Jack;Self play;Draw;300;0%
363;28.12.2021 01:15:11;-32,44516;Madox;Self play;Fail;120;99%
