#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
317;12.01.2022 05:14:54;-18,18522;Madox;Self play;Fail;1;59;100%
318;12.01.2022 05:14:54;-3,320567;Jack;Self play;Win;1;59;100%
319;12.01.2022 05:15:22;-15,56523;Madox;Self play;Win;1;236;33%
320;12.01.2022 05:15:22;-42,36233;Jack;Self play;Fail;1;236;99%
321;12.01.2022 05:15:36;-32,32032;Madox;Self play;Win;1;115;87%
322;12.01.2022 05:15:36;-28,30784;Jack;Self play;Fail;1;115;87%
323;12.01.2022 05:15:45;-14,96524;Madox;Self play;Win;1;82;100%
324;12.01.2022 05:15:45;-14,12771;Jack;Self play;Fail;1;82;100%
325;12.01.2022 05:16:00;-31,50758;Madox;Self play;Fail;1;125;100%
326;12.01.2022 05:16:00;-10,32778;Jack;Self play;Win;1;125;100%
327;12.01.2022 05:16:15;-41,81112;Madox;Self play;Win;1;122;100%
328;12.01.2022 05:16:15;-19,82016;Jack;Self play;Fail;1;122;100%
329;12.01.2022 05:16:20;-12,55304;Madox;Self play;Win;1;41;100%
330;12.01.2022 05:16:20;-10,59758;Jack;Self play;Fail;1;41;100%
331;12.01.2022 05:17:05;-151,3096;Madox;Self play;Win;2;387;24%
332;12.01.2022 05:17:05;-58,93375;Jack;Self play;Fail;2;387;24%
333;12.01.2022 05:17:07;-11,45009;Madox;Self play;Fail;1;18;100%
334;12.01.2022 05:17:07;1,395005;Jack;Self play;Win;1;18;100%
335;12.01.2022 05:17:20;-45,41621;Madox;Self play;Fail;1;104;100%
336;12.01.2022 05:17:20;-10,40674;Jack;Self play;Win;1;104;100%
337;12.01.2022 05:17:21;-8,430058;Madox;Self play;Fail;1;14;100%
338;12.01.2022 05:17:21;-2,454995;Jack;Self play;Win;1;14;100%
339;12.01.2022 05:17:31;-35,98837;Madox;Self play;Fail;1;83;100%
340;12.01.2022 05:17:31;-9,477693;Jack;Self play;Win;1;83;100%
341;12.01.2022 05:17:40;-38,99966;Madox;Self play;Fail;1;70;100%
